'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBNs',"'PUBLICATION INFO'",'COMMENT','RATINGS','REVIEWS',"'ENTRY DATE'",'COPIES','SUBJECTS','COLLECTIONS','TAGS'
"Garri Potter i filosofskii kamen / Harry Potter and the Philosopher's Stone (Russian Edition)","J. K. Rowling","Rowling, J. K.",2003,,,[535300308X],"Rosman Publishing (2003), Edition: Russian edition, Hardcover",,0,,"2014-01-21 18:50:32",1,"âEcoles > Romans, nouvelles, etc. pour la jeunesse > 
Alchemy > Juvenile fiction > 
Angleterre > Romans, nouvelles, etc. pour la jeunesse > 
Child actors > Miscellanea > 
Child actors > Posters > 
Children stories > 
Children's stories > 
Children's stories
Children's stories, English > History and criticism > 
Children's stories. lcsh > 
Children\'s books > England > 1997 > 
Children\'s stories > 
England > Fiction > 
England > Fiction
England > Juvenile fiction > 
England > Juvenile fiction
Fantasy > 
Fantasy > Juvenile fiction > 
Fantasy fiction > 
Fantasy fiction > Juvenile > 
Fantasy fiction
Fantasy fiction, English > History and criticism > 
Fantasy fiction, Juvenile > 
Feature > 
Feature
Harry Potter and the goblet of fire (Motion picture) > 
Hogwarts School of Witchcraft and Wizardry (Imaginary place) > 
Hogwarts School of Witchcraft and Wizardry (Imaginary place) > Fiction > 
Hogwarts School of Witchcraft and Wizardry (Imaginary place) > Juvenile fiction > 
Hogwarts School of Witchcraft and Wizardry (Imaginary place) > Juvenile fiction
Illustrated case binding > England > 1997 > 
Juvenile","Your library","translation,magic,wizards"
"Welcome to Bordertown","Holly Black","Black, Holly",2011,,,[0375867058],"Random House Books for Young Readers (2011), Edition: 0, Hardcover, 544 pages",,0,,"2014-01-21 18:50:32",1,,"Your library","short stories"
"Codex Seraphinianus","Luigi Serafini","Serafini, Luigi",2013,,,[0847842134],"Rizzoli (2013), Edition: Har/Bklt N, Hardcover, 396 pages",,0,,"2014-01-21 18:50:32",1,"Encyclopedias and dictionaries > Miscellanea > 
Encyclopedias and dictionaries > Miscellanea
Imaginary languages > 
Imaginary languages
Imaginary societies > 
Imaginary societies","Your library","nonsense,illumination"
"Good Omens","Neil Gaiman","Gaiman, Neil",2001,,,[0441008615],"Ace Trade (2001), Paperback, 354 pages",,0,,"2014-01-21 18:50:33",1,"End of the world > Fiction > 
End of the world > Fiction
Fantasy fiction > 
Fantasy fiction
Good and evil > Fiction > 
Heaven > Fiction > 
Hell > Fiction > 
Humorous fiction > 
Humorous fiction
Prophecies > Fiction > 
Prophecies > Fiction
Witches > Fiction > 
Witches > Fiction","Your library","christianity,religion,apocalypse,humor,angels,four horsemen"
"The Ocean at the End of the Lane: A Novel","Neil Gaiman","Gaiman, Neil",2013,,,[0062255657],"William Morrow (2013), Edition: 1st, Hardcover, 192 pages",,0,,"2014-01-21 18:50:33",1,,"Your library","witchcraft,ocean"
"The Illuminatus! Trilogy: The Eye in the Pyramid, The Golden Apple, Leviathan","Robert Shea","Shea, Robert",1983,,,[0440539811],"Dell (1983), Paperback, 805 pages",,0,,"2014-01-21 18:50:33",1,"Conspiracy > Fiction > 
Science fiction, American > 
Science fiction, American","Your library","conspiracy,crime,occult,discordianism,secret societies,anarchism,atlantis,drugs"
"Cat's Cradle","Kurt Vonnegut","Vonnegut, Kurt",1969,,,[0440111498],"Dell (1969), Edition: 0, Mass Market Paperback, 192 pages",,0,,"2014-01-21 18:50:34",1,"End of the world > Fiction > 
End of the world > Fiction
Humorous fiction > 
Humorous fiction
Satire > 
Satire
Science fiction > 
Science fiction","Your library","satire,apocalypse"
"The Foundation Trilogy: Foundation, Second Foundation, Foundation and Empire","Isaac Asimov","Asimov, Isaac",1974,,,[0380001012],"Avon Books (1974), Paperback, 225 pages",,0,,"2014-01-21 18:50:34",1,"Life on other planets > Fiction > 
Life on other planets > Fiction
Psychohistory > Fiction > 
Psychohistory > Fiction
Science fiction > 
Science fiction, American > 
Science fiction, American
Seldon, Hari (Fictitious character) > Fiction > 
Seldon, Hari (Fictitious character) > Fiction","Your library","planet,math"
"Grim Tuesday (Keys to the Kingdom, Book 2)","Garth Nix","Nix, Garth",2004,,,[0439436559],"Scholastic Paperbacks (2004), Paperback, 336 pages",,0,,"2014-01-21 18:50:34",1,"Asthma > Fiction > 
Asthma > Fiction
Fantasy > 
Fantasy
Fantasy fiction > 
Good and evil > Fiction > 
Good and evil > Juvenile fiction > 
Greed > Fiction > 
Greed > Fiction
Heroes > Fiction > 
Heroes > Juvenile fiction > 
Magic > Fiction > 
Magic > Fiction
Responsibility > Fiction > 
Responsibility > Fiction
Space and time > Fiction > 
Space and time > Fiction","Your library",magic
"Metro 2033","Dmitry Glukhovsky","Glukhovsky, Dmitry",2013,,,[1407244086],,,0,,"2014-01-21 18:50:34",1,,"Your library","translation,russia,moscow,trains,apocalypse"
"The Hobbit: Or, There and Back Again","J.R.R. Tolkien","Tolkien, J.R.R.",2001,,,[061815082X],"HMH Books for Young Readers (2001), Edition: Young Adult, Paperback, 333 pages",,0,,"2014-01-21 18:50:34",1,"Adventure
Adventure and adventurers > Juvenile fiction > 
Animation > 
Animation
Audiobooks > 
Audiobooks
Baggins, Bilbo (Fictitious character) > Drama > 
Baggins, Bilbo (Fictitious character) > Fiction > 
Baggins, Bilbo (Fictitious character) > Fiction
Children's stories > 
Children's stories
Children's stories, English > 
Fantastic fiction > 
Fantastic fiction
Fantastic fiction. gsafd > 
Fantasy > 
Fantasy
Fantasy drama > 
Fantasy drama
Fantasy fiction > 
Fantasy fiction
Fantasy fiction, English > 
Hobbits (Fictitious characters) > Fiction
Middle Earth (Imaginary place) > Computer games
Middle Earth (Imaginary place) > Drama > 
Middle Earth (Imaginary place) > Drama
Middle Earth (Imaginary place) > Fiction > 
Middle Earth (Imaginary place) > Fiction
Middle Earth (Imaginary place) > Juvenile fiction > 
Middle Earth (Imaginary place) > Study guides > 
Middle Earth (Imaginary place)--Fiction > 
Quests (Expeditions) > Fiction > 
Quests (Expeditions) > Fiction
Tolkien, J. R. R. (John Ronald Reuel), 1892-1973 > Criticism and interpretation > 
Tolkien, J. R. R. (John Ronald Reuel),","Your library","dwarves,elves,wizards,middle earth"
"Gormenghast Trilogy","Mervyn Peake","Peake, Mervyn",1999,,,[0099288893],"VINTAGE (RAND) (1999), Edition: New Ed, Paperback, 960 pages",,0,,"2014-01-21 18:50:35",1,"Fantasy fiction, English > 
Fantasy fiction, English","Your library","gothic,castles"
"The Discovery of France: A Historical Geography","Graham Robb","Robb, Graham",2008,,,[0393333647],"W. W. Norton & Company (2008), Paperback, 496 pages",,0,,"2014-01-21 18:50:35",1,"Bicycle touring > France
Cities and towns > France > History
France > Description and travel
France > Historical geography
France > History","Your library","history,france"
ÐšÐ¾Ñ€Ð°Ð»Ð¸Ð½Ð°,"ÐÑƒÐ» Ð“ÐµÐ¹Ð¼Ð°Ð½","Ð“ÐµÐ¹Ð¼Ð°Ð½, ÐÑƒÐ»",2005,,,[5170271085],"AST (2005), Hardcover",,0,,"2014-01-21 18:50:35",1,,"Your library","doppelgÃ¤ngers,translation,children's"
"The Graveyard Book","Neil Gaiman","Gaiman, Neil",2008,,,[0060530936],"HarperCollins (2008), Library Binding, 320 pages",,0,,"2014-01-21 18:50:35",1,"Cemeteries > Fiction
Cemeteries > Juvenile fiction
Dead > Fiction
Dead > Juvenile fiction
Orphans > Fiction
Supernatural > Fiction
Supernatural > Juvenile fiction","Your library","death,children's,ghosts,orphans,horror,vampires"
"Thud! A Novel of Discworld","Terry Pratchett","Pratchett, Terry",2005,,,[0060815221],"Harper (2005), Hardcover, 384 pages",,0,,"2014-01-21 18:50:36",1,"Discworld (Imaginary place) > Fiction > 
Discworld (Imaginary place) > Fiction
Fantasy fiction > 
Fantasy fiction
Humorous stories > 
Humorous stories
Satire > 
Satire
Vimes, Samuel (Fictitious character) > Fiction > 
Vimes, Samuel (Fictitious character) > Fiction","Your library","satire,city watch,discworld"
"The Wizard of Oz (Puffin Classics)","L. Frank Baum","Baum, L. Frank",1994,,,[0140366938],"Puffin (1994), Paperback, 188 pages",,0,,"2014-01-21 18:50:36",1,"Adventure and adventurers > Juvenile literature > 
Children > United States > History
Children's stories > 
Children's stories, American > History and criticism
Fantasy > 
Fantasy > Juvenile fiction > 
Fantasy
Fantasy fiction > 
Fantasy fiction
Fantasy fiction, American > History and criticism
Large type books > 
Oz (Imaginary place) > Drama
Oz (Imaginary place) > Fiction > 
Oz (Imaginary place) > Fiction
Oz (Imaginary place)
Wizards > Fiction > 
Wizards > Fiction
Wizards > Juvenile literature","Your library",children's
"Equal Rites","Terry Pratchett","Pratchett, Terry",2000,,,[0061020699],"HarperTorch (2000), Edition: Reissue, Mass Market Paperback, 213 pages",,0,,"2014-01-21 18:50:36",1,"Discworld (Imaginary place) > Fiction > 
Discworld (Imaginary place) > Fiction
Fantasy fiction > 
Fantasy fiction
Fantasy fiction, English > 
Fantasy fiction, English > 20th century > 
Humorous fiction > 
Humorous fiction
Humorous stories > 
Satire > 
Satire
Vimes, Samuel (Fictitious character) > Fiction > 
Vimes, Samuel (Fictitious character) > Fiction
Wizards > Fiction","Your library","witchcraft,magic,satire discworld,gender"
"Collected Ancient Greek Novels","B. P. Reardon","Reardon, B. P.",1989,,,[0520043065],"University of California Press (1989), Paperback, 835 pages",,0,,"2014-01-21 18:50:36",1,"Greek fiction > Translations into English","Your library",greece
"Carpe Jugulum (Discworld)","Terry Pratchett","Pratchett, Terry",2000,,,[0061020397],"HarperTorch (2000), Mass Market Paperback, 378 pages",,0,,"2014-01-21 18:50:36",1,"Discworld (Imaginary place) > Fiction > 
Discworld (Imaginary place) > Fiction
Fantastic fiction > 
Fantastic fiction
Fantasy fiction > 
Fantasy fiction
Humorous fiction
Humorous stories","Your library","vampires,discworld,satire"
"VAS: An Opera in Flatland: A Novel. By Steve Tomasula. Art and Design by Stephen Farrell.","Steve Tomasula","Tomasula, Steve",2004,,,[0226807401],"University Of Chicago Press (2004), Edition: 0, Paperback, 370 pages",,0,,"2014-01-21 18:50:36",1,"Biotechnology > Fiction > 
Biotechnology > Fiction
Experimental fiction > 
Experimental fiction
Genetic engineering > Fiction > 
Genetic engineering > Fiction
Science fiction > 
Science fiction","Your library",art
"Small Gods","Terry Pratchett","Pratchett, Terry",2003,,,[0061092177],"HarperTorch (2003), Mass Market Paperback, 384 pages",,0,,"2014-01-21 18:50:36",1,"Discworld (Imaginary place) > Fiction > 
Discworld (Imaginary place) > Fiction
Fantasy fiction > 
Fantasy fiction
Humorous fiction > 
Humorous fiction
Science fiction","Your library",religion
"Pyramids (Discworld Book 7)","Terry Pratchett","Pratchett, Terry",2001,,,[9780061020650],"HarperTorch (2001), Mass Market Paperback, 352 pages",,0,,"2014-01-21 18:50:37",1,"Discworld (Imaginary place) > Fiction > 
Discworld (Imaginary place) > Fiction
Fantastic fiction. gsafd > 
Fantasy fiction > 
Fantasy fiction
Humorous stories > 
Humorous stories. gsafd > 
Pyramids > Fiction > 
Science fiction","Your library","satire,discworld"
"The Maltese Falcon","Dashiell Hammett","Hammett, Dashiell",1992,,,[0679722645],"Vintage (1992), Paperback, 217 pages",,0,,"2014-01-21 18:50:37",1,"Detective and mystery stories > 
Detective and mystery stories
Fiction in English > 
Large type books > 
Large type books
Mystery fiction > 
Mystery fiction
Private investigators > California > San Francisco > Fiction > 
Private investigators > San Francisco > Fiction
Publishers' advertisements > New York (State) > New York > 1934 > 
San Francisco (Calif.) > Fiction > 
San Francisco (Calif.) > Fiction
Spade, Sam (Fictitious character) > Drama
Spade, Sam (Fictitious character) > Fiction > 
Spade, Sam (Fictitious character) > Fiction","Your library","crime,san francisco,mystery,hardboiled,detective"
"Jingo (Discworld)","Terry Pratchett","Pratchett, Terry",2004,,,[0061059064],"HarperTorch (2004), Mass Market Paperback, 448 pages",,0,,"2014-01-21 18:50:37",1,"Discworld (Imaginary place) > Fiction > 
Discworld (Imaginary place) > Fiction
Fantastic fiction > 
Fantastic fiction
Fantastic fiction. gsafd > 
Fantasy fiction > 
Fantasy fiction
Humorous stories > 
Humorous stories
Humorous stories. gsafd > 
Imaginary wars and battles > Fiction > 
Vimes, Samuel (Fictitious character) > Fiction > 
Vimes, Samuel (Fictitious character) > Fiction","Your library","satire,city watch,discworld"
Sourcery,"Terry Pratchett","Pratchett, Terry",2001,,,[0061020672],"HarperTorch (2001), Edition: Reissue, Mass Market Paperback, 288 pages",,0,,"2014-01-21 18:50:37",1,"Discworld (Imaginary place) > Fiction > 
Discworld (Imaginary place) > Fiction
Fantasy fiction > 
Fantasy fiction","Your library",magic
"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg","Sandberg, Sheryl",2013,,,[0385349947],"Knopf (2013), Edition: 1, Hardcover, 240 pages",,0,,"2014-01-21 18:50:37",1,,"Your library","business,feminism,leadership"
"The Long Earth","Terry Pratchett","Pratchett, Terry",2012,,,[9780062067753],"Harper (2012), Edition: 0, Hardcover, 352 pages",,0,,"2014-01-21 18:50:37",1,,"Your library","parallel worlds"
"The Fourth Bear: A Nursery Crime (Jack Spratt Investigates)","Jasper Fforde","Fforde, Jasper",2007,,,[0143038923],"Penguin Books (2007), Edition: 0, Paperback, 378 pages",,0,,"2014-01-21 18:50:37",1,"Fantasy fiction > 
Fantasy fiction
Mystery fiction > 
Mystery fiction
Nursery rhymes > Adaptations > 
Nursery rhymes > Adaptations","Your library","crime,detective,nursery rhymes,humor,mystery"
"The Big Over Easy: A Nursery Crime","Jasper Fforde","Fforde, Jasper",2006,,,[0143037234],"Penguin Books (2006), Edition: Reprint, Paperback, 383 pages",,0,,"2014-01-21 18:50:38",1,"Fantasy fiction > 
Fantasy fiction
Mystery fiction > 
Mystery fiction
Nursery rhymes > Adaptations > 
Nursery rhymes > Adaptations","Your library","crime,detective,mystery,humor,nursery rhymes"
"H W J N (English Edition)","Ibraheem Abbas","Abbas, Ibraheem",2013,,,[1482075938],"CreateSpace Independent Publishing Platform (2013), Edition: 1, Paperback, 190 pages",,0,,"2014-01-21 18:50:38",1,,"Your library","islam,djinn"
"The Taqwacores","Michael Muhammad Knight","Knight, Michael Muhammad",2009,,,[1593762291],"Soft Skull Press (2009), Edition: Revised Edition, Paperback, 256 pages",,0,,"2014-01-21 18:50:38",1,,"Your library","islam,punk,religion"
"Kafka on the Shore","Haruki Murakami","Murakami, Haruki",2005,,,[0099458322],"Vintage (2005), Edition: New Ed, Paperback, 505 pages",,0,,"2014-01-21 18:50:38",1,"Relationships > Fiction > 
Runaways > Fiction","Your library","magical realism,translation,japan"
"Three Men in a Boat: To Say Nothing of the Dog!","Jerome K. Jerome","Jerome, Jerome K.",1978,,,[0140012133],"Penguin (1978), Paperback, 192 pages",,0,,"2014-01-21 18:50:38",1,"Adventure fiction > 
Adventure fiction
Black Forest (Germany) > Fiction > 
Black Forest (Germany) > Fiction
Boats and boating > England > Thames River > Fiction > 
Boats and boating > Fiction > 
Boats and boating > Fiction
Dogs > England > Thames River > Fiction > 
English language > Textbooks for foreign speakers > 
Humorous fiction > 
Humorous fiction
Humorous stories > 
Humorous stories, English
Male friendship > Fiction > 
Male friendship > Fiction
Readers > 1950- > 
Thames River (England) > Fiction > 
Thames River (England) > Fiction
Wit and humor > 
Wit and humor
Young men > Travel > England > Thames River > Fiction","Your library","humor,england"
"Love in the Time of Cholera (Oprah's Book Club)","Gabriel Garcia Marquez","Marquez, Gabriel Garcia",2007,,,[0307389731],"Vintage (2007), Edition: 0, Paperback, 368 pages",,0,,"2014-01-21 18:50:38",1,"Colombia > Fiction > 
Colombia > Fiction
Large type books > 
Love stories > 
Love stories","Your library","magical realism,translation,colombia"
"The Complete Verse and Other Nonsense","Edward Lear","Lear, Edward",2002,,,[0142002275],"Penguin Books (2002), Edition: 0, Paperback, 624 pages",,0,,"2014-01-21 18:50:39",1,"Nonsense literature, English > 
Nonsense literature, English
Nonsense verses, English > 
Nonsense verses, English","Your library","poetry,nonsense"
"An Introduction to the Languages of the World","Anatole V. Lyovin","Lyovin, Anatole V.",1997,,,[0195081161],"Oxford University Press, USA (1997), Paperback, 512 pages",,0,,"2014-01-21 18:50:37",1,"Language and languages > 
Language and languages","Your library",linguistics
"Holidays on Ice","David Sedaris","Sedaris, David",2008,,,[0316035904],"Little, Brown and Company (2008), Edition: 0, Hardcover, 176 pages",,0,,"2014-01-21 18:50:39",1,"Christmas stories, American > 
Christmas stories, American
Family > United States > Fiction > 
Family > United States > Fiction
Humorous stories, American > 
Humorous stories, American","Your library","memoir,humor"
"The Name of the Rose: including the Author's Postscript","Umberto Eco","Eco, Umberto",1994,,,[0156001314],"Harvest Books (1994), Edition: 0, Paperback, 536 pages",,0,,"2014-01-21 18:50:39",1,,"Your library","historical fiction,religion,christianity,italy,detective,medieval"
"An Instance of the Fingerpost","Iain Pears","Pears, Iain",2000,,,[1573227951],"Riverhead Trade (2000), Paperback, 704 pages",,0,,"2014-01-21 18:50:39",1,"Detective and mystery stories > 
Detective and mystery stories
Detective and mystery stories. gsafd > 
Great Britain > Fiction. > 1660-1714
Great Britain > Fiction. > Charles II, 1660-1685
Great Britain > History > 1660-1714 > Fiction > 
Great Britain > History > Charles II, 1660-1685 > Fiction > 
Historical fiction > 
Historical fiction
Large type books > 
Murder > England > Oxford > Fiction > 
Murder > Oxford > Fiction
Oxford (England) > Fiction > 
Oxford (England) > Fiction","Your library","historical fiction,crime,royal society,england"
"Very Bad Poetry","Ross Petras","Petras, Ross",1997,,,[0679776222],"Vintage (1997), Edition: 1st, Paperback, 144 pages",,0,,"2014-01-21 18:50:40",1,"American poetry > 
American poetry
English poetry > 
English poetry","Your library",poetry
"Feathers: The Evolution of a Natural Miracle","Thor Hanson","Hanson, Thor",2012,,,[0465028780],"Basic Books (2012), Edition: First Trade Paper Edition, Paperback, 352 pages",,0,,"2014-01-21 18:50:40",1,,"Your library","birds,feathers,flight"
"Never Let Me Go (Movie Tie-In Edition) (Vintage International)","Kazuo Ishiguro","Ishiguro, Kazuo",2010,,,[0307740994],"Vintage (2010), Edition: Mti, Paperback, 304 pages",,0,,"2014-01-21 18:50:40",1,"Cloning > Fiction > 
Cloning > Fiction
Donation of organs, tissues, etc. > Fiction > 
Donation of organs, tissues, etc. > Fiction
England > Fiction > 
England > Fiction
Human cloning > Fiction > 
Human cloning > Fiction
Organ donors > Fiction > 
Organ donors > Fiction
Psychological fiction > 
Psychological fiction
Reminiscing > Fiction > 
Reminiscing > Fiction
School children > England > Fiction > 
School children > England > Fiction
Science fiction > 
Science fiction
Women > England > Fiction > 
Women > England > Fiction
Women > Fiction > 
Women > Fiction","Your library",england
"The Man Who Mistook His Wife for a Hat: And Other Clinical Tales","Oliver W. Sacks","Sacks, Oliver W.",1987,,,[0060970790],"Harpercollins (1987), Paperback, 256 pages",,0,,"2014-01-21 18:50:40",1,"Large type books > 
Large type books
Mental illness > 
Neurology > Anecdotes > 
Neurology > Anecdotes
Psychoanalysis > Case studies > 
Psychology, Pathological > Case studies","Your library",medicine
"The Red Book","C. G. Jung","Jung, C. G.",2009,,,[0393065677],"W. W. Norton & Company (2009), Edition: 1st, Hardcover, 416 pages",,0,,"2014-01-21 18:50:40",1,,"Your library","psychology,illumination"
"Night Watch","Sergei Lukyanenko","Lukyanenko, Sergei",2006,,,[1401359795],"Miramax Books / Hyperion (2006), Edition: 1st, Paperback, 455 pages",,0,,"2014-01-21 18:50:40",1,"Fantasy fiction
Vampires > Fiction","Your library","russia,translation,magic,moscow,vampires,city watch,werewolves,witchcraft"
Metamorphoses,Ovid,Ovid,1960,,,[0253200016],"Indiana University Press (1960), Paperback, 401 pages",,0,,"2014-01-21 18:50:41",1,"Didactic poetry, Latin > 
English poetry > Translations from Latin > 
Erotic poetry, Latin > 
Fables, Latin > 
Fables, Latin > Translations into English > 
Fables, Latin > Translations into English
Greek literature > 
Greek literature
Latin poetry > 
Latin poetry > Early works to 1800
Latin poetry > Translations into English > 
Love poetry, Latin > 
Metamorphosis > Mythology > Poetry > 
Metamorphosis > Mythology > Poetry
Metamorphosis > Poetry > 
Metamorphosis > Poetry
Mythology, Classical > Poetry > 
Mythology, Classical > Poetry
Mythology, Greek > 
Mythology, Greek
Seduction > Poetry > 
Separation (Psychology) > Poetry > 
Skin > Care and hygiene > Poetry","Your library",poetry
"Anna Karenina","Leo Tolstoy","Tolstoy, Leo",2004,,,[0143035002],"Penguin Classics (2004), Paperback, 864 pages",,0,,"2014-01-21 18:50:41",1,"Adultery > Drama
Adultery > Fiction > 
Adultery > Fiction
Adultery > Russia > Fiction > 
Allegories > 
Didactic fiction > 
Didactic fiction
English fiction > Translations from Russian > 
Fiction in English > Translations from Russian > 
Love stories > 
Love stories
Marriage > Drama
Married women > Fiction > 
Married women > Fiction
Mothers and sons > Drama
Russia > Fiction > 
Russia > Fiction
Russia > Social conditions > 1533-1917 > Fiction
Russia > Social conditions > 1801-1917 > Drama
Russia > Social life and customs > 1533-1917 > Fiction > 
Russia > Social life and customs > 1533-1917 > Fiction
Russian fiction > Translations into English > 
Russian literature > 
Social values > Drama
Sociological films and programs
Suicide > Drama
Suicide > Russia > Fiction > 
Upper class > Russia > Fiction > 
Upper class women > Russia > Fiction > 
Volkov, Nikolaæi Dmitrievich, 1894- Anna Karenina > 
Volkov, Nikolaæi Dmitrievich, 1894-1965. Anna Karenina","Your library","russia,translation,moscow,st. petersburg"
"Roadside Picnic (Rediscovered Classics)","Arkady Strugatsky","Strugatsky, Arkady",2012,,,[9781613743416],"Chicago Review Press (2012), Edition: 0, Paperback, 224 pages",,0,,"2014-01-21 18:50:41",1,"Russian fiction > 
Science fiction","Your library","russia,aliens,translation"
"Atlantic: Great Sea Battles, Heroic Discoveries, Titanic Storms, and a Vast Ocean of a Million Stories","Simon Winchester","Winchester, Simon",2011,,,[0061702625],"Harper Perennial (2011), Edition: Reprint, Paperback, 528 pages",,0,,"2014-01-21 18:50:41",1,,"Your library","ocean,history"
Solaris,"Stanislaw Lem","Lem, Stanislaw",2002,,,[0156027607],"Mariner Books (2002), Paperback, 224 pages",,0,,"2014-01-21 18:50:41",1,"Authors, Polish > 20th century > Biography > 
English fiction > Translations from Polish > 
English fiction > Translations from Polish
Lem, Stanis±aw > 
Polish fiction > Translations into English > 
Polish fiction > Translations into English
Science fiction, Polish","Your library","space travel,aliens,translation"
"Le Morte D'Arthur - Volume I","Thomas Malory","Malory, Thomas",2004,,,[1401307809],"Hyperion (2004), Paperback, 512 pages",,0,,"2014-01-21 18:50:42",1,"Arthur, King > 
Chivalry > Fiction > 
Chivalry > Fiction
Knights and knighthood > Fiction > 
Knights and knighthood > Fiction","Your library","mythology,england"
"Bertie Wooster Sees It Through (A Jeeves and Bertie Novel)","P. G. Wodehouse","Wodehouse, P. G.",2000,,,[0743203615],"Touchstone (2000), Edition: 1st Scribner Paperback, Paperback, 240 pages",,0,,"2014-01-21 18:50:42",1,"England > Fiction > 
England > Fiction
Fiction in English > 
Humorous fiction > 
Humorous fiction
Humorous stories > 
Jeeves (Fictitious character) > Fiction > 
Jeeves (Fictitious character) > Fiction
Single men > Fiction > 
Single men > Fiction
Valets > Fiction > 
Valets > Fiction
Wooster, Bertie (Fictitious character) > Fiction > 
Wooster, Bertie (Fictitious character) > Fiction","Your library","humor,england"
"2017: A Novel","Olga Slavnikova","Slavnikova, Olga",2010,,,[1590203097],"Overlook Hardcover (2010), Hardcover, 448 pages",,0,,"2014-01-21 18:50:42",1,,"Your library","russia,dystopia,translation"
"Gods and Myths of Northern Europe","H.R. Ellis Davidson","Davidson, H.R. Ellis",1965,,,[0140136274],"Penguin Books (1965), Paperback, 256 pages",,0,,"2014-01-21 18:50:42",1,"Europe, Northern > Religion > 
Europe, Northern > Religion
Mythology, Germanic > 
Mythology, Germanic
Mythology, Norse > 
Mythology, Norse","Your library","norse,mythology"
"Infinite City: A San Francisco Atlas (Chairman's Circle Books)","Rebecca Solnit","Solnit, Rebecca",2010,,,[0520262492],"University of California Press (2010), Edition: 1, Hardcover, 167 pages",,0,,"2014-01-21 18:50:42",1,,"Your library","atlas,san francisco"
Baudolino,"Umberto Eco","Eco, Umberto",2002,,,[0151006903],"Harcourt (2002), Edition: 1st, Hardcover, 522 pages",,0,,"2014-01-21 18:50:42",1,"Historical fiction > 
Middle Ages > Fiction","Your library","historical fiction,italy"
"Egil's Saga (Penguin Classics)",Anonymous,Anonymous,1977,,,[0140443215],"Penguin Classics (1977), Paperback, 256 pages",,0,,"2014-01-21 18:50:42",1,"Egill Skallagrâimsson, ca. 910-ca. 990 > 
Egill Skallagrâimsson, ca. 910-ca. 990 > Romances > 
Egill Skallagrimsson, ca. 910-ca. 990 > Romances > 
Sagas > Translations into English > 
Sagas > Translations into English","Your library","vikings,norse"
"The Cyberiad","Stanislaw Lem","Lem, Stanislaw",1985,,,[0156235501],"Harvest/HBJ Books (1985), Paperback, 312 pages",,0,,"2014-01-21 18:50:42",1,"Poland > Fiction > 
Poland > Fiction
Science fiction, Polish","Your library","robots,humor,translation"
Nation,"Terry Pratchett","Pratchett, Terry",2008,,,[0061433012],"HarperCollins (2008), Roughcut, 384 pages",,0,,"2014-01-21 18:50:43",1,"Interpersonal relations > Fiction
Survival > Fiction
Survival after airplane accidents, shipwrecks, etc. > Fiction
Tsunamis > Fiction
Young adult fiction","Your library","alternate history,royal society,science"
"Aelita (Macmillan's Best of Soviet Science Fiction)","Aleksey Nikolayevich Tolstoy","Tolstoy, Aleksey Nikolayevich",1981,,,[0026192004],"Macmillan Pub Co (1981), Edition: First Edition, Hardcover, 167 pages",,0,,"2014-01-21 18:50:43",1,,"Your library","russia,space travel,translation"
"Moscow - 2042","Vladimir Voinovich","Voinovich, Vladimir",1990,,,[0156621657],"Mariner Books (1990), Edition: 0, Paperback, 444 pages",,0,,"2014-01-21 18:50:43",1,,"Your library","russia,translation,humor,moscow,satire"
"Miss Peregrine's Home for Peculiar Children","Ransom Riggs","Riggs, Ransom",2013,,,[1594746036],"Quirk Books (2013), Edition: 0, Paperback, 382 pages",,0,,"2014-01-21 18:50:43",1,,"Your library","orphans,photographs"
"In Cold Blood","Truman Capote","Capote, Truman",1994,,,[0679745580],"Vintage (1994), Edition: First Edition, Paperback, 343 pages",,0,,"2014-01-21 18:50:43",1,"Crime films and programs
Docudrama
Feature
Features
Hickock, Richard Eugene, 1931-1965 > 
Hickok, Richard Eugene, 1931 or 2-1965 > 
Murder > Kansas > 
Murder > Kansas > Case studies > 
Murder > Kansas > Case studies
Murder > Kansas
Smith, Perry Edward, 1928-1965 > 
Smith, Peter Edward, 1928 or 9-1965 > 
Videodiscs","Your library","crime,southern gothic,murder"
1Q84,"Haruki Murakami","Murakami, Haruki",2011,,,[0307593312],"Knopf (2011), Edition: 0, Hardcover, 944 pages",,0,,"2014-01-21 18:50:44",1,,"Your library","magical realism,doppelgÃ¤ngers,translation,japan,cults,assassins"
"Arcadia: A Play","Tom Stoppard","Stoppard, Tom",1994,,,[0571169341],"Faber & Faber (1994), Edition: 0, Paperback, 112 pages",,0,,"2014-01-21 18:50:44",1,"Literature, Comparative > Periodicals","Your library","theater,math"
"In the Land of Invented Languages: Adventures in Linguistic Creativity, Madness, and Genius","Arika Okrent","Okrent, Arika",2010,,,[0812980891],"Spiegel & Grau (2010), Paperback, 352 pages",,0,,"2014-01-21 18:50:44",1,,"Your library","linguistics,constructed language"
